user;Comment;Label
rudhy4kurniawan; Wkwkkwk ... wong cilik...;NON-CYBERBULYING
dominicusshelby; @themissinglamb sangat real no gimmick;NON-CYBERBULYING
RenjerHijau; Afh iyh?;NON-CYBERBULYING
AlievIcha; Mbak puan sama gus Imin kalau butuh PR buat bangun image jadi wong cilik bisa hubungi saya ya..;NON-CYBERBULYING
titisankecap; Heleh;NON-CYBERBULYING
joko_maryadi; Sbg rakyat sandal jepit sy berpesan, jangan menjadi egois hanya krn ingin jd Presiden, seraplah asâ€¦ https://t.co/DWanMBnyr0;NON-CYBERBULYING
p0larbeer; semakin hari semakinâ€¦..;NON-CYBERBULYING
besokliburlagi; Yaelaaa emang masih related bawa2 wong cilik? ðŸ˜šðŸ˜„;NON-CYBERBULYING
threehartono; Apa yg sdh kamu lakukan selain matiin mikropon ?;NON-CYBERBULYING
sarli_lili; Bacot lo;NON-CYBERBULYING
TiaraDo2; Sipaling;NON-CYBERBULYING
Sonhjicelik; Ra sudi;NON-CYBERBULYING
OpieOcean; Pilih lah pemimpin yg tidak jadikan wong cilik sebagai umpan, jdkan mereka sbg tameng, selalu menjâ€¦ https://t.co/WpML055R0i;NON-CYBERBULYING
SaragihSahal; Cilik e sapiro ?ðŸ˜‹  ðŸœ  â˜ï¸Iki tah ?;NON-CYBERBULYING
Garettt98; Terserahe sampean lah buu, penting sampean bahagia wong nek ngapusi doso yo ditanggung dewe mbesok neng akhirat;NON-CYBERBULYING
mytemy; tidak di kantor, tidak di rumah, perjamuan hari ini mi instan dan es teh plastikan lagi. kenapa haâ€¦ https://t.co/0mvCsVa2iB;NON-CYBERBULYING
Dicky73654458; Ngomong opo iki g ada gunanya;NON-CYBERBULYING
_fendy_; Mana sandal jepitnya? Gk keliatan;NON-CYBERBULYING
Minggu121; Y;NON-CYBERBULYING
SeptianBA; Cilak cilik terus. Yg kenyang jg kalian2 juga. Retoric;NON-CYBERBULYING
_Megan73; Keren yak meja warung pecelnya kek meja hajatan manten di gedung.;NON-CYBERBULYING
yana_yan83; Hahahahahahahahaa;NON-CYBERBULYING
kyagengsare; Ngrepoti wong dodol tok;NON-CYBERBULYING
IOS_GrizlyWolf; Cringe;NON-CYBERBULYING
rizkyade705; next ke tukang bakso....;NON-CYBERBULYING
yoninie; https://t.co/A0YO901lck;NON-CYBERBULYING
Sallyseendiri; Anjayy;NON-CYBERBULYING
rio_pratamaa73; Hahahaha;NON-CYBERBULYING
junjungansemua; oh... sandal jepit;NON-CYBERBULYING
Haryant22810332; Faktanya skrng partainya wong licik.bkn wong cilik lg.;CYBERBULLYING
_bbymoon_; WKWKWK;NON-CYBERBULYING
pramantyoaji; Di warung tapi warungnya sepi karena udah booked, alias rakyat kecil ga bisa ikut makan disitu, alâ€¦ https://t.co/qsYgPH8phL;NON-CYBERBULYING
cinggaronx; ðŸ’©;NON-CYBERBULYING
Matahatikoe; Warung e eksklusive ngono...ngece wong cilik yen kui.. Ora mathuk yen di omong partai wong cilik yâ€¦ https://t.co/eM5V9B7bg1;NON-CYBERBULYING
DawudBasari; Tangisan untuk wong cilik sekarang jadi hore hore di dalam gedung sambil happy birthday.... Di luaâ€¦ https://t.co/eXxBlL6xS1;NON-CYBERBULYING
_fendy_; Baru kali ini liat duren ditutupin pake daun pisang;NON-CYBERBULYING
putrinabilavida; Boong ah;NON-CYBERBULYING
WongWonogiri02; Warung pecel VVIP.. Kalau yg lazim alas mejanya plastik teh botol.. hehe;NON-CYBERBULYING
keposia0; Gakena gakena;NON-CYBERBULYING
Kebongce62; Pfffft..sejak kapan warung pecel pake taplak putih bersih macam kondangan begitu..kacau lah emang,â€¦ https://t.co/8rMmbNhkWm;NON-CYBERBULYING
ghifarisyukurrr; Paan si;NON-CYBERBULYING
__kimbora__; wkwkwkw mejanya warung pecel mana tu bagus bgt kayak meja di nikahan;NON-CYBERBULYING
sobatatap; Gak usah merasa sok jadi wong cilik, kalau dari ceprot lahir belum pernah merasakan jadi wong cilik.;NON-CYBERBULYING
BukanMumuuun; Bu, udh tanam padi belum?;NON-CYBERBULYING
north_ool; actingnya kurang meyakinkan mungkin bisa lebih mendalami lagi;NON-CYBERBULYING
Jarang_Tidurrr; OMONG KOSONG;CYBERBULLYING
repellomagletum;" Apa tidak malu ya, minimal sama diri sendiri lah, ""self claiming"" yg tidak sesuai kenyataan ðŸ¥²";NON-CYBERBULYING
ex_yonkou; Spill warung pecelnya bu, pengen nyoba juga makan disitu bu. Soalnya warung pecel langganan saya kâ€¦ https://t.co/JAIIY1pYLQ;NON-CYBERBULYING
yukeeantox;" perasaan gak pernah liat warung pecel ""wong cilik"" pake taplak meja table manner yang mewah";NON-CYBERBULYING
ChinkAmir; Partai sing akali wong cilik. Ngapusiiiii.;CYBERBULLYING
soniasonyaade; Baru tau warung pecel sekarang konsepnya kayak lagi di kondangan tetanggaðŸ˜‚ðŸ˜‚ðŸ˜‚;NON-CYBERBULYING
MasDarius456; Orang miskin gk makan pecel bu, orang miskin makannya janji pejabat ditambah politikus...:);CYBERBULLYING
Bostu12; Ini baru calon pemimpin yang merakyat,  Kalian semua harus dukung ibu puan. Karena hanya ibu puanâ€¦ https://t.co/XNZfdRgGU1;NON-CYBERBULYING
darmawanrnc; kocak;NON-CYBERBULYING
Rokstar61671246; Oligarki;NON-CYBERBULYING
cebongidas; Rakyat disuruh pura2 bahagia, pejabat pura2 merakyat.. COCOK;NON-CYBERBULYING
Rifkiadisyah2; Partai wong cilik katanya;NON-CYBERBULYING
zakariy66321230; ya ampun, pura-pura merakyat aja masih gagal. kenapa ga nyadar ya, skenario yg buruk buat modal 2024 :v;NON-CYBERBULYING
DrockMpf; Tolong dimatikan mic nya;NON-CYBERBULYING
cuantastix; Ngaku partai wong cilik tapi bansos buat wong cilik aja digarong sm kader partai lu....waras ??;CYBERBULLYING
Mgdmyt_; Puan kui sopo aku yo ra rohh.;NON-CYBERBULYING
Kamumu8; Kutu kupret https://t.co/jJn9efKKKM;NON-CYBERBULYING
Restubu71707747; Gk malu kah ibu berkata sprti itu, seharus ny ibu malu berkata sprti itu, bkn rakyat anti pemerintâ€¦ https://t.co/eJX8b7wOJ5;NON-CYBERBULYING
ZaFaJeffryDjaya; Pencitraan saja bisanya...;CYBERBULLYING
Basonk15; ç§ã¯æ°—ã«ã—ãªã„ã—ã€ç§ã¯ã¨ã¦ã‚‚æ„šã‹ã§ã™;NON-CYBERBULYING
hellotiarrrr; riiilll khh?;NON-CYBERBULYING
KrisnaBiian; https://t.co/RS8CQMaEjN;NON-CYBERBULYING
mantunyamamayou; ahh yang benerr;NON-CYBERBULYING
SheMurni2;Cuma narasi dan pencitraan doang partai wong cilik, wong sendal jepit kenyataannya kerja kalian tdk ada yg mewakili rakyat kecil;CYBERBULLYING
boklewashere; Koya.;NON-CYBERBULYING
dearrloser; â€œWong cilikâ€ isine weteng buncit kbeh kok wong cilik pie. Kan mben dino panganane duit rakyat;CYBERBULLYING
Syamsulhudaya75; Partai wong cilik ngomong, emprut....  Ngomong sono sama tembok;NON-CYBERBULYING
si_dedhe_doel; Pengin komen takut ilang;NON-CYBERBULYING
thehellareyouu; bullshit apalagi ini?;CYBERBULLYING
ceyepolosan; sudah lah, Mbak.. PDIP makin hancur kalo sampean begini2 terus;NON-CYBERBULYING
sobirin17231913; Saya sampaikan ke bu puan, Islam melarang pemimpin atau ulil amri dari perempuan. Jadi percuma sajâ€¦ https://t.co/weNmciKb9o;NON-CYBERBULYING
TodiTwit; Udah muak dengan politikus yang masih make istilah, â€œpartai wong cilikâ€. Rakyat miskin didekatin hâ€¦ https://t.co/vgNEiQhQmw;NON-CYBERBULYING
abdulmunajatya1; Partai Wong Licik dan Partai Penjilat Clop lah;CYBERBULLYING
kucingnocturnal; Anggota dpr wae tok mute, opo meneh rakyat;CYBERBULLYING
PLx1975; Pura-pura untuk dapet suara sudah tidak laku jaman sekarang.;NON-CYBERBULYING
yulian_antoni; Ga komen ah, takut dosaðŸ˜Š;NON-CYBERBULYING
Risyaf_Pranasa; gada warung pecel pake kursi bungkus VVIP woeee;NON-CYBERBULYING
jukikunn_; Janji ga matiin mic?;NON-CYBERBULYING
pangestu_______; Isok ae sampean Iki buk;NON-CYBERBULYING
saturnjsno; paan sih emak2 satu ini, hdeh;NON-CYBERBULYING
Zainudd98796509; Jika PDIP &amp;NON-CYBERBULYING
UmarDanarli; Spill harga dan lokasinya dong kakk;NON-CYBERBULYING
brigadir_h; nasi pecel pelengkapnya duren musanking luar biasaa ðŸ¤£;NON-CYBERBULYING
ArloDerry; Tapi BBM naik bu, wong cilik mana yg ibu bela?;NON-CYBERBULYING
ibnusyamsu_; Mbak puan, warung e wong cilik gada duren gitu, meja ya mboten di taplaki kain putih gitu, kursi nâ€¦ https://t.co/dt9eMskYIX;NON-CYBERBULYING
WohingKelopo; Maksdnya itu partainya wong cilik ati khan bu puan., Bkan partai nya wong kere sik diinjak terus tâ€¦ https://t.co/45si6iEmiC;NON-CYBERBULYING
MLamsihar; Sendal jepitnya merk swallow bukan bu ðŸ¤­;NON-CYBERBULYING
4ndrian5; Wong cilik apa wong licik sih?;CYBERBULLYING
AaronYodo;Kagak ada interaksi sama rakyat kok bisa ngeklaim partai wong cilik, partai sendal jepit? Anggota DPR saja tidak digubris dan dimatikan mikrofonnya;NON-CYBERBULYING
MrJuragan240222; Mblegedes.....ðŸ¤£ðŸ™ˆ;NON-CYBERBULYING
Mmahalik2; Sesama calon gak laku;NON-CYBERBULYING
riotrieut; ah yg benul ibu? ibu kira wong cilik kayak aku bakalan bersimpati sama twit ibu? hihihi egk dlu buk,,;NON-CYBERBULYING
salendra18; Status WA temen pagi ini ðŸ˜‚  Bu, tersenyumlah kepada wong cilik yg bersendal jepit tersebut. https://t.co/WjmOfkpfEL;NON-CYBERBULYING
Permadyyy; ðŸ¤®ðŸ¤®ðŸ¤®ðŸ¤®;NON-CYBERBULYING
loh_heehhh; Mau nge rep takut ilang:(;NON-CYBERBULYING
AaronYodo; Duriannya tuh, gagal ditutupi dengan selembar daun pisang. Saya gagal paham merakyat di sebelah mana nya;NON-CYBERBULYING
doddyjete; Warung pecel skrg, meja &amp;NON-CYBERBULYING
wisanggeni_11; Warung mana nih keren amat?;NON-CYBERBULYING
penikmat__subuh; Buk Sy jadi orang pertama yg nanti tidak milih anda Gpp ya klo g milih buk puan Soalnya sy sudah tau kapasitas buk puan;NON-CYBERBULYING
cellanyabobo; Ini orang kenapa sih;NON-CYBERBULYING
lediva_santi; Kangen lihat nangis2 pas BBM naik...;NON-CYBERBULYING
referensishopee; Warteg nya bagus https://t.co/LIvrkX35wC;NON-CYBERBULYING
setengahsetan; wong cilik yang suka matikan mic;NON-CYBERBULYING
anaswongkamfung;Partai yg memelihara wong cilik agar tetap menjadi wong cilik yg mudah dikibal kibul agar tetap memilih partainya...btw bbm naik kan buat nambah wong cilik;NON-CYBERBULYING
scaramounc; afh iyh;NON-CYBERBULYING
rachman_andinur; Hilih kinthhhil;CYBERBULLYING
ICM212; JANGAN MAU DI BODOHI DGN PENCITRAAN BASI SPT INI.. MODEL PENCITRAAN SEPJANGAN MAU DI BODOHI DGN PENCITRAAN BASI SPT INI.. MODEL PENCITRAAN SEPERTI INILAH YANG AKAN MENJADI PARASIT BAGI RAKYATNYA KELAK.. SUARA WAKIL RAKYAT DALAM RAPAT SAJA DIA MATIKAN MIC NYA , APALAGI  MASYARAKAT JIKA JIKA BERSUARA.. AYO .JANGAN MAU LAGI DI BODOHI PDIP DAN CUNGUKNYAERTI INILAH YANG AKAN MENJAâ€¦ https://t.co/E0BPE74Vyp;CYBERBULLYING
Matataby0; Latarnya editan kah ?;NON-CYBERBULYING
variaputra_; sekali sekali di bakso podomoro sabi bu;NON-CYBERBULYING
JodohBisaDiatur; CYBERBULLYINGing semua dong komen2nya. ðŸ¤£ðŸ¤£ðŸ¤£  Kok kek gitu masih pede bikin twit kek gini sih. ðŸ¤£ðŸ¤£ðŸ¤£  Sumpah gâ€¦ https://t.co/WS4GVykal8;NON-CYBERBULYING
AzwaKurumi; INFO TYPE CAMERA;NON-CYBERBULYING
46Sulhanudin; Wong cilik kaya gimana Bu ratu?;NON-CYBERBULYING
khong_id; sinetron menjelang pemilu;NON-CYBERBULYING
suqirdward; Wong cilik mana yang warungnya semewah itu;NON-CYBERBULYING
nindanindot; KRIK KRIK KRIK;NON-CYBERBULYING
EvilAdudu; Gagal cosplay jadi wong cilik;NON-CYBERBULYING
kresna_Awjy; sadarlah bu, gaakan ada yg milih ente bu puan, mending pdi ngusung pak ganjar saja dari pada merusâ€¦ https://t.co/TDnMJp7AwW;NON-CYBERBULYING
AnggiRamadan12; Jgn kelamaan ngobrol segerah makan krupuknya, soalnya minyak mahal sayang kalo krupuknya mlepes haha mlepessss iya;NON-CYBERBULYING
sonny_chandra; Partai wong cilik ...rakyatnya hidup nya melarat, pemimpinnya gaya hidup hedonisme;NON-CYBERBULYING
bngktbp; pnctraan.;NON-CYBERBULYING
blukutz; Halah ra payu kowe mben;NON-CYBERBULYING
linggarmax; Cuihhh;CYBERBULLYING
nizardelapan_; Bulshiit anda ya rara eeh puan;CYBERBULLYING
Danche32917612; Mbak  maap, wong cilik yg mana yg dimaksud yah? Saya tdk merasakan pembalelaan ygâ€¦ https://t.co/MpgAUS7HEz;NON-CYBERBULYING
yogahadinata; Beban wong cilik;NON-CYBERBULYING
Sambeje; Mengapa ada durian?,  mana ada warung pecel campur durian.;NON-CYBERBULYING
satembek; Partainya wong cilik, partainya wong sendal jepit??  Ibarat lagi nonton iklan burger di restaurantâ€¦ https://t.co/iDhaOEyeDM;NON-CYBERBULYING
MasAaUsep; Ketulusanmu @puan_centre  SANGAT TERLIHAT DI VIDIO INI. cara memberi,  ekspresi waâ€¦ https://t.co/K2CSI1HXxe;NON-CYBERBULYING
greenteaavo; iya soalnya suka kunjungan ke rumah tbâ€ ngasi duit;NON-CYBERBULYING
elmo_dj1979; Partainya wong cilik tapi suka matiin mic wakil rakyat yang beropini dan kasih masukkan untuk rakyâ€¦ https://t.co/GdZF2VEASg;NON-CYBERBULYING
Buset_002; Ckck hanya pura2 menjadi wong cilik ketika menjelang pemilu. FIX jangan pilih orang ini!;NON-CYBERBULYING
DalimaLeyli; Masih merasakan pny malu..kah??;NON-CYBERBULYING
IwangAdi1; Opo o kok gak ng cangkir ae;NON-CYBERBULYING
Wongsundae1; Ngokkkk;NON-CYBERBULYING
_tweetiees; Mejanya kek meja katering di kondangan ðŸ˜Œ;NON-CYBERBULYING
aidissabil; Metal cilik;NON-CYBERBULYING
Zhainurry; Ingat nggak kemaren waktu momen ulang tahun?;NON-CYBERBULYING
rindupersatuan; Ibu ga mau nangis nangis lagi mumpung di warung pecel..kan bbm lagi naik tuh pas momennya sprti dulu..;NON-CYBERBULYING
Ridlwaaan; PARTAI (TIDAK) WONG CILIK;NON-CYBERBULYING
Atjeh1496; i i i ini parah ni dustanya;NON-CYBERBULYING
Atjeh1496; bknnya kau elergi sama wong cilik? juga sama mkanan itu?;NON-CYBERBULYING
SBYulianto; ðŸ¤£ðŸ¤£ðŸ¤£Masih ingat dengan satu kata yang dulu sering saya dengar waktu masih kecil.. KOYES!;NON-CYBERBULYING
AldReen_dMarth; wong tjilik #TragicComicWkwkLandPlus62ðŸ‡²ðŸ‡¨ https://t.co/cdWFdPa3z5;NON-CYBERBULYING
panjie_ginanjar; Kami cukup tertawa. By rakyat;NON-CYBERBULYING
Wisnuprdt_; Kami muak Bu, rakyat lelah dengan kelakuan 'seolah' pro rakyat, padahal ada kepentingan pribadi atâ€¦ https://t.co/CX48Q1KQbT;NON-CYBERBULYING
rianriiiaan; Gantilah think tank Mu, Mbak Puan.ðŸ˜‚ Gimmick2 politik Mu banyak yg ngawur. kalau lg promosi diri beâ€¦ https://t.co/HJLsAey8Hl;CYBERBULLYING
Yaii_27; NORAK CUIH;CYBERBULLYING
MohammadFH8; Bukan mahram Bu...ga boleh salaman...:);NON-CYBERBULYING
HelloW0rdl18; Pecel opo iku kok onok duren e? Peyek mbe krupuk e gk melempem ta buk? Sakjane di deleh toples ae lapo dipiringi;NON-CYBERBULYING
BangShandyy; Udah hampir 10thun jabat masih banyak wong cilik nya mbak?  Dicari wong cilik lagi buat melesat;NON-CYBERBULYING
imawbila; o;NON-CYBERBULYING
ferryberita; Wong cilik lagi pada susah nih skrg, turunkan BBM, turunkan harga smbako, naikan pndpatan seluruhâ€¦ https://t.co/8vq0xRGBWI;NON-CYBERBULYING
RiefBoper; Cuih;CYBERBULLYING
HelloW0rdl18; Oh;NON-CYBERBULYING
pinosgandos; Keren. Karirnya melonjak cepet banget ya. Padahal belum lama masih jadi pawang ujan, trus diundangâ€¦ https://t.co/ydNn9SLZun;NON-CYBERBULYING
ibaladi; @DistortBot;NON-CYBERBULYING
SantriBaholak; Selogan belaka... NATO !!! https://t.co/kCYdxysWBb;NON-CYBERBULYING
NgapakKang; Sekedar mengingatkan saja ibu puan yg terhormat,klo betul anda pro wong cilik kenapa menyetujui keâ€¦ https://t.co/E9EggLghB9;NON-CYBERBULYING
fiman0886; Yg pke sandal jepit Bkn cuma wong cilik.......bos puan,,,,,bacot;CYBERBULLYING
Heysinyo; doyan banget klaim. Kalian gagal total dengan framing merakyat yang digunakan;NON-CYBERBULYING
ketut_giri; Warung pecel plus durian, mevah;NON-CYBERBULYING
raiinmatrix; Berberda dgn pecel warung pada umumnya;NON-CYBERBULYING
GetsemaniKaro; Kalau anda yg akan diusung pdip jd capres, maka pilpres nanti saya dan seluruh keluarga saya akanâ€¦ https://t.co/K5mnc1ocnO;NON-CYBERBULYING
ibiarto1; Partainya wong cilik pejabat dan pengurusnya wong elite..;NON-CYBERBULYING
kuenastar_; Hadeh;NON-CYBERBULYING
aryanto2020; Istimewah;NON-CYBERBULYING
Gyoucancallme; Ora ana jarate warung pecel, mejane di taplaki mbaaaaakkkk;NON-CYBERBULYING
ahaha_subarashi; ah yang benerr;NON-CYBERBULYING
BocilBrando3; https://t.co/RYei5SI3od;NON-CYBERBULYING
caitrionananana; Afhaaa iyhaaaa;NON-CYBERBULYING
denis_michel182; Lambe mu wing cilik..;CYBERBULLYING
baburista; kami akan selalu ingat lincahnya jemari mu saat mematikan mic, buðŸ™Œ;NON-CYBERBULYING
vino_tanimura; Elaah mana ada warung pecel white clothed table gitu.. gimmick kira2 juga kalee;NON-CYBERBULYING
kim_doff1; Le mas yg dibelakang: akting yg bagus tp coreografer yg buruk....;NON-CYBERBULYING
anakosan123; Ke warungnya naik Alphard;NON-CYBERBULYING
TisuBekasDaki; Duo dagelan nyampurðŸ˜‚ðŸ˜‚;CYBERBULLYING
cheesetiramisyu; Istidraj;NON-CYBERBULYING
trendbandung_id; Masuk got dong..;CYBERBULLYING
august_nda; Jangan berlindung dibalik nama wong cilik kalau kenyataannya bikin susah hidup wong cilik,BBM naik kalian diam saja;NON-CYBERBULYING
TsaniHMusthafa; Isu Wong cilik hanyalah bahan bakar untuk naik ke Atas;NON-CYBERBULYING
AchmadTafsir07; Jangan terlalu memaksakan diri buk' saat ini rakyat simpati sama pa jokowi bukan pdi' klo emang ibâ€¦ https://t.co/bftspPiDSU;NON-CYBERBULYING
FCaulyflora; Ayo maju dadi presiden bu, syemangat ðŸ¤£ðŸ¤£ðŸ¤£;NON-CYBERBULYING
KusumaKhresna; Warung pecelnya bagus ya.. mejanya di skirting..  Jual aqua ukuran kecil..(warung lain sih jualnya ukuran tanggung);NON-CYBERBULYING
AhmadMa68749941; https://t.co/6TZnlJ9iFs;NON-CYBERBULYING
TarliSefi;Ngapusi ae ....partai wong cilik dr mana ??? Dekat cm sm gerombolan dan cebong ... yg ada cm bikin susah rakyat yg sebenarnya.;NON-CYBERBULYING
CrispyPiranha; Gw inget lu pas baca kepsyennya gan ðŸ¤£ â€œakar rumputâ€ @akhlakulsyaf;NON-CYBERBULYING
f_febyn; Quote tweets-nya lebih banyak dari pada likes ðŸ˜€;NON-CYBERBULYING
Ox_Winnyone; Hmmmmmm;NON-CYBERBULYING
doa_ibu_selalu; gimmick merakyat aja gagal.;NON-CYBERBULYING
reginamlyn_; tidak dirapat tidak dirumah pasti mic selalu dimatiin;NON-CYBERBULYING
fafalatip; Partai wong cilik, tapi kok pak juliari sangat kaya sekali?;NON-CYBERBULYING
hfiys17;kalo sdh urat malu putus.. menistakan diri sendiri itu jd hal biasa... anda ini salah satu orang yg mempunyai mukjizat yaitu bisa mematikan micropone;CYBERBULLYING
WahyuYogaS87; Kangen tangisan mbak ketika harga BBM naik.;NON-CYBERBULYING
terlalumenawan; dih?;NON-CYBERBULYING
sakuuy_; Coba lagi ya bu ðŸ¤®ðŸ¤®;NON-CYBERBULYING
billiekhadijah; https://t.co/8bSLE0cPF1;NON-CYBERBULYING
Malik_Calm; Wowowowo......gk ngefeck bngt;NON-CYBERBULYING
wkwkhoiril; utekmu cilik;NON-CYBERBULYING
dreamrealm6; https://t.co/a42K52YVb3;NON-CYBERBULYING
Aspal_Cair; Avah iyaahh?;NON-CYBERBULYING
DirafFathir; Ngarang;NON-CYBERBULYING
YourGuard0; Ko warung nya sepi tah? Ndi wong cilik e?;NON-CYBERBULYING
urhypecrush; @bokkenpootjes_ Pret;NON-CYBERBULYING
georgetunya1; Mau merakyat tapi di waroeng pecel nya ga ada rakyat. Di batasi ga tuhðŸ¤£;NON-CYBERBULYING
ZainulA87956631; Bu Puan Mending Rapat di Kantor aja.;NON-CYBERBULYING
ChapeeB; BBM BU DILIAT NI WONG CILIK SUSAH NI BU,makan pecel lele mah kapan aja bisa;NON-CYBERBULYING
BimaSetiaWijaya; Cocok...buat usaha bersama;NON-CYBERBULYING
ijaajalah;partai wong cilik tp menipu wong cilik.. dulu nangis2 bbm naik.. skrng malah naikin lebih tinggi  dasar munafik lo. partai pnipu;CYBERBULLYING
abidinoye; NDOPOK!!!;NON-CYBERBULYING
lilmeowchi935; Nyenyenye;NON-CYBERBULYING
Gonebima; Mik-nya nd dibawa Bu?..;NON-CYBERBULYING
patsboi; QkqkqkqkðŸ‘ðŸ‘;NON-CYBERBULYING
Haruka_akura; Mana ada warung buka meja &amp;NON-CYBERBULYING
hulubalang__; Mana ada warung meja dan kursinya di sarungin putih macam meja kursi kundangan buk... Weleh weleh...;NON-CYBERBULYING
khoikyu; Ga di warung bakso mba? ðŸ˜…;NON-CYBERBULYING
le_ehsan; Kamera....action.....;NON-CYBERBULYING
arimahardika59; Hahaha udah jgn jualan citra mulu udah ketauan busuknya ko;CYBERBULLYING
dontbesyai;Harusnya pakai sutradara macam mas @jokoanwar .kalau mau bikin settingan yang reliable. Itu kalau mas Joko berkenan lho ha-ha-ha. Daripada settingan maksa, jadinya malah ditertawakan netizen.;NON-CYBERBULYING
aristateles; Ok;NON-CYBERBULYING
Lilijelitaa; Masa sih buk;NON-CYBERBULYING
Mhdyudhaa_; Dasar politikus giliran ada maunya aja bawa bawa orang kecil ðŸ˜;NON-CYBERBULYING
shareapain2; HAHAHHAHAHHAHAHHAHAHAHA PUNCAK KOMEDI;NON-CYBERBULYING
TheJourney78; Tp BBM naik ko ga nangis lagi ????? Trus tunjukan prestasi yg memang berdampak tehadap wong cilik???;NON-CYBERBULYING
SURYAPS20; Kita wong cilik, wong sendal jepit tidak pernah makan ditempat ginian, kita makannya di hotel berbâ€¦ https://t.co/F4zmXz6bwB;NON-CYBERBULYING
Nania84203887; Ya Allah... Pilihkan kami pemimpin yang takut padaMu dan sayang pada kami, jangan kau pilihkan pemâ€¦ https://t.co/E9k94DEIJZ;NON-CYBERBULYING
Hagorom71876916; Dari semua komentar yang gua baca menunjukkan bahwa ini gagal framing, gua juga ketawa sih baca postingan dan komentarnya;NON-CYBERBULYING
RKhossaghi; Wong cilik???????? Palsu;NON-CYBERBULYING
theminddeep; Omdo;NON-CYBERBULYING
le_ehsan; Oow... https://t.co/QcwvvN5RGL;NON-CYBERBULYING
gampangkangend; Tapi warungnya bagus bu, coba yang pinggir pinggir terminal;NON-CYBERBULYING
le_ehsan; Kumpret mbak...g bakal milih air mata buaya...;NON-CYBERBULYING
Aftonhdyt1; Mangan sego pecel kok nggo sendok, mulok nk wani;NON-CYBERBULYING
ReMot_Surabaya; @maulana_yoga;NON-CYBERBULYING
pointone15; kaca mana kacaaa..ðŸ˜†ðŸ˜†;NON-CYBERBULYING
ShanuerL; Makannya Nambah gak tuh?? Kalo gak nambah bukan merakyat itu namanya.;NON-CYBERBULYING
cevindefretes; Ibu perlu belajar sama Baim Wong ðŸ‘ðŸ»ðŸ˜;NON-CYBERBULYING
F_besar; @setiawanesia @RNoorislami;NON-CYBERBULYING
wargatwitt; Meja kursinya bagus, sangat bersih, dan memang sudah sepantasnya ketua DPR RI memperoleh pelayanan terbaik;NON-CYBERBULYING
damarwidi99; Warung pecel mewah gini sak pincuk berapaan ya? Belum nambah gorengan,jeroan,minumnya ga ada teh pâ€¦ https://t.co/GDdYUdVrZ6;NON-CYBERBULYING
kritikusnegatif; Sandal jepit ndasmu;CYBERBULLYING
Equin403; Limau wong cilik ðŸ’€ðŸ’€ðŸ’€ðŸ’€;NON-CYBERBULYING
AcenkSilva_; Biasanya warung2 gitu buahnya pisang bu, kok ini duren yak? ðŸ˜‚;NON-CYBERBULYING
hinata564;" Aduuuuhh adduuuuh addduuhh. 2024 no banteng takut makin di srudug, jaman SBY mati""an demo, sekaranâ€¦ https://t.co/RcNRyzHRFW";NON-CYBERBULYING
riswan_nebo; Hahaha hahaha. Cukup ketawain aja.;NON-CYBERBULYING
kuejahenenek; Pecel lele punya wong cilik mana yang pake alasnya piring rotan mejanya putih bersih....kebanyakanâ€¦ https://t.co/2mi8R42XoN;NON-CYBERBULYING
egahrdy; Harusnya di bengrut bu,pecelnya lebih enak Cuman yg jual lumayan jutek  Atau warkop pandawa,lebihâ€¦ https://t.co/HwZk96sQ09;NON-CYBERBULYING
nanahuber1985; Bangkitkan derejat perempuan;NON-CYBERBULYING
apsetia1; hmmm...;NON-CYBERBULYING
KyleKoyy; Sendal jepit merk gucci ?;NON-CYBERBULYING
urlilkid; puan tanpa soekarno;NON-CYBERBULYING
By_Maharr; Njenengan hebat BuðŸ‘ðŸ™ðŸ™ Sehat selaluðŸ‘ðŸ‘ðŸ‘ Saya gak berani makan pecel dengan pencuci mulut durian..takâ€¦ https://t.co/x7hS0vEh7d;NON-CYBERBULYING
ArikaYud; Wong cilik , warunge ngono ya ðŸ˜…;NON-CYBERBULYING
darah_revolusi; Adul wong cilik aja ogah;NON-CYBERBULYING
mamayo28675887; Puan kontol;CYBERBULLYING
mamayo28675887; Puan monyet;CYBERBULLYING
faqihmuqaddam_; brisik;NON-CYBERBULYING
Ichan_Pitoeng; https://t.co/edRc2iprXZ;NON-CYBERBULYING
sahiman75854882; Gak bakal gue pilih lu;NON-CYBERBULYING
HHawadis;Duh mbak mbak.. nggak salah tuh partai wong licik eh cilik? Memang pernah mbak puan pakai sendal jepit selain ke WC? Basii mbak.. rakyat sdh cerdas.. nggak bisa lg jd objek partaimu..;CYBERBULLYING
itskhuzaimah; Gagal Bu gagal udah gagal gagal ðŸ¤£ðŸ¤£ðŸ¤£;NON-CYBERBULYING
wigiamarza; Masih berani ngomong partai wong cilik mbak..  ðŸ˜‚ðŸ˜‚ðŸ˜‚..   Dana bansos di potong kemaren dari partai mana yaðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚;NON-CYBERBULYING
yogibambangset; Udh mls nyoblos;NON-CYBERBULYING
aprilino_p; Cuma memastikan, wong cilik atau wong licik?;CYBERBULLYING
imaqueennz; Jangan bawa2 wong cilik lg Mbak klo kenyataan bikin susah wong cilik aeeðŸ¤£ðŸ¤£ðŸ¤£;NON-CYBERBULYING
