Comment,Label
"['cilik', 'kalo', 'makan', 'mie', 'rebus', 'nasi']",NON-CYBERBULYING
"['partaina', 'jalma', 'leutik', 'nu', 'da', 'k', 'dibobodo', 'potona', 'geus', 'ngajeblag', 'dimana', 'nepi', 'ka', 'lembur', 'singkur', 'potona', 'teu', 'kaukur']",NON-CYBERBULYING
"['cilik', 'yg', 'woy']",NON-CYBERBULYING
"['hilih', 'bicit']",CYBERBULLYING
"['kowe', 'sg', 'fotone', 'oalah', 'anggota', 'we']",NON-CYBERBULYING
"['pemilih', 'jokowi', '2', 'priode', 'pilih', 'beliau', 'integritas', 'kredibilitasnya', 'pilpres']",NON-CYBERBULYING
[],NON-CYBERBULYING
"['halaaah', 'halaaah', 'buuu', 'buu', 'sok', 'paham', 'cilik', 'kek']",NON-CYBERBULYING
"['r', 'u', 'serious', 'right', 'neow', 'bro']",NON-CYBERBULYING
"['sedih', 'liatnya', 'kasihan', 'pecelnya', 'gak', 'dimakan']",NON-CYBERBULYING
"['cilik', 'kaga', 'butuh', 'partai']",NON-CYBERBULYING
"['cilik', 'kah', 'maniss']",NON-CYBERBULYING
"['iyain', 'aja', 'umur', 'ngga', 'tau']",NON-CYBERBULYING
"['partai', 'cilik', 'kebijakan', 'yg', 'dukung', 'cilik', 'harga', 'bbm', 'hadirkah', 'untk', 'cilik']",NON-CYBERBULYING
"['lihat', 'komentar2', 'netizen', '62', 'rata2', 'sdh', 'jengkel', 'dgn', 'partai', 'yg', 'mengatasnamakan', 'cilik', 'kenyataannya', 'berbeda']",NON-CYBERBULYING
['turun'],NON-CYBERBULYING
"['affa', 'iyaah']",NON-CYBERBULYING
"['affhh', 'iyyhhh']",NON-CYBERBULYING
['lucu'],NON-CYBERBULYING
"['ketawa', 'keliatan', 'nya', 'lucu', 'ntar', 'ketawa', 'apanya', 'yg', 'lucu', 'ndak', 'ketawain', 'bahan']",NON-CYBERBULYING
"['udah', 'cilik', 'bawa2', 'rakyat', 'tanda2', 'pemilu', 'kata2', 'sandal', 'jepit', 'menya']",NON-CYBERBULYING
"['pikirkan', 'mah', 'rakyat', 'kelompok', 'kecuali', 'perusahaan', 'suasta', 'wakil', 'rakyat', 'yg', 'd']",NON-CYBERBULYING
"['kmi', 'rindu', 'air', 'mata', 'bu', 'kenaikan', 'bbm', 'jaman', 'pmrth', 'sby', 'deras', 'air', 'mata', 'mengalir']",NON-CYBERBULYING
"['hora', 'kabehhhh']",NON-CYBERBULYING
"['ah', 'masak', 'iya', 'kabarnya', 'dg', 'bbm', 'pajak', 'tol', 'sembako', 'berhubungan', 'dg']",NON-CYBERBULYING
"['partai', 'perbolehkan', 'suara', 'partai', 'memilih', 'figur', 'yg', 'penunjang', 'kinerja', 'k']",NON-CYBERBULYING
"['cilik', 'emang', 'heeh']",NON-CYBERBULYING
"['warungnya', 'pke', 'kompor', 'listrik', 'ga']",NON-CYBERBULYING
"['ketemu', 'warpat', 'puncak', 'aja', 'bu', 'seyruuu']",NON-CYBERBULYING
"['affah', 'iyah']",NON-CYBERBULYING
"['iya', 'aja', 'deh']",NON-CYBERBULYING
"['pro', 'cilik', 'ko', 'mingkem', 'bbm', 'sembako', 'dusta', 'trs', 'trah', 'sukarno']",NON-CYBERBULYING
"['sek', 'nganggo', 'sendal', 'jepit', 'ganti', 'slop', 'war']",NON-CYBERBULYING
"['ah', 'boong', 'ah']",NON-CYBERBULYING
"['kalo', 'nyapres', 'sih', 'oke', 'tp', 'kalo', 'presiden', 'sih']",NON-CYBERBULYING
"['cilik', 'warung', 'resto', 'pecitraan', 'mulu', 'ga', 'malu']",CYBERBULLYING
"['warung', 'restaurant', 'bu']",NON-CYBERBULYING
"['akting', 'cilik', 'aja', 'gagal', 'ngurus', 'negri', 'eh']",NON-CYBERBULYING
"['y', 'ok']",NON-CYBERBULYING
"['tisunya', 'tisu', 'gulung', 'toilet', 'pecelnya', 'taplaknya', 'putih', 'taplak', 'teh', 'pucuk', 'harum']",NON-CYBERBULYING
"['mbak', 'rara', 'ngentot', 'iklan', 'mulu']",CYBERBULLYING
"['koq', 'gak', 'nangis', 'pas', 'bbm', 'rakyat', 'lg', 'menjerit']",NON-CYBERBULYING
"['doakan', 'semoga', 'bener2', 'membangun', 'ya', 'bu', 'cilik', 'ga', 'apa2', 'doain', 'semoga', 'yg', 'dibangu']",NON-CYBERBULYING
"['partai', 'licik']",CYBERBULLYING
['licik'],NON-CYBERBULYING
"['keren', 'skali', 'mbak', 'rara', 'skin', 'legend']",NON-CYBERBULYING
['cilik'],NON-CYBERBULYING
"['wes', 'gak', 'payu', 'dodolan', 'cilik', 'rakyat', 'pintar']",NON-CYBERBULYING
"['rt', 'sosok', 'calon', 'pemimpin', 'ramah', 'murah', 'senyum', 'merakyat', 'dambaan', 'masyaraka']",NON-CYBERBULYING
['akwoakowakowk'],NON-CYBERBULYING
"['mantap', 'bu', 'le', 'gasken']",NON-CYBERBULYING
"['halahhh', 'bacoottttt', 'cilik', 'cilik', 'bullshit']",CYBERBULLYING
"['rakjat', 'cilik', 'jarene', 'partai', 'hasil', 'fusi', 'pni', 'yg', 'kiri']",NON-CYBERBULYING
"['dadi', 'cilik', 'model', 'pie', 'aan', 'potonganmu']",NON-CYBERBULYING
"['bohongin', 'partainya', 'licik', 'monggo', 'ae', 'nek', 'prngen', 'sengsoro', 'uripmu']",CYBERBULLYING
['licik'],CYBERBULLYING
['buk'],NON-CYBERBULYING
"['warungnya', 'cilik', 'jarang', 'bgt', 'durian', 'montong']",NON-CYBERBULYING
"['halah', 'kontol', 'bacot']",CYBERBULLYING
['halah'],NON-CYBERBULYING
"['bu', 'rakyat', 'mohon', 'bantuannya', '300', 'orang', 'yg', 'mohon', 'keadilan', 'dugaan']",NON-CYBERBULYING
"['b', 'aja']",NON-CYBERBULYING
"['macacih', 'partai', 'cilik']",NON-CYBERBULYING
['durian'],NON-CYBERBULYING
"['iklan', 'terselubung', 'minumnya', 'aqua', 'tisunya', 'indomaret']",NON-CYBERBULYING
"['halah', 'bacot', 'gak', 'inget', 'lu', 'pas', 'matiin', 'mic']",CYBERBULLYING
"['cilik', 'kaya', 'gimana', 'ya']",NON-CYBERBULYING
"['wkwkwkwkwkwkwkwkw', 'taaeeee']",NON-CYBERBULYING
"['partai', 'cilik', 'setuju', 'wonge', 'tetep', 'cilik', 'partaine']",NON-CYBERBULYING
"['tae', 'a']",NON-CYBERBULYING
"['makan2', 'dapet', 'foto', 'yg', 'bagus', 'ga']",NON-CYBERBULYING
"['serunya', 'tinggal', 'indonesia', 'dipimpin', 'orang', 'orang', 'seru', 'seru', 'seru']",NON-CYBERBULYING
"['gak', 'payu']",NON-CYBERBULYING
"['1', 'porsinya', '40', 'rb', 'an']",NON-CYBERBULYING
"['ketua', 'pssi', 'aja', 'bu']",NON-CYBERBULYING
[],NON-CYBERBULYING
"['usapan', 'air', 'matanya', 'mbak', 'rara']",NON-CYBERBULYING
"['ttep', 'aja', 'bu', 'gabakal', 'menang', 'hehehe', 'nyuwun', 'ngapuro']",NON-CYBERBULYING
"['pemilu', 'jualan', 'cilik', 'ya', 'bu']",NON-CYBERBULYING
"['kalo', 'emang', 'partai', 'cilik', 'turunin', 'bbm', 'donk', 'bu']",NON-CYBERBULYING
"['partai', 'cilik', 'licik', 'nih', 'positif', 'thingking', 'typo', 'ya']",CYBERBULLYING
"['kalo', 'partai', 'pengusaha', 'daftat']",NON-CYBERBULYING
"['cilik', 'meja', 'nya', 'gak', 'kasih', 'sampul', 'putih']",NON-CYBERBULYING
"['elahh', 'udah', 'bener', 'pawang', 'hujan', 'nekat', 'nyapres']",NON-CYBERBULYING
"['yg', 'milih', 'sih']",NON-CYBERBULYING
"['musang', 'king', 'duren', 'mahal']",NON-CYBERBULYING
"['hai', 'rakyat', 'teteplah', 'jdi', 'cilik', 'diatur', 'dbodoi', 'diapusi', 'dasar', 'licik']",CYBERBULLYING
"['nek', 'merakyat', 'iku', 'mangane', 'ning', 'warung', 'sederhana', 'pinggir', 'dalan', 'mbak', 'nek', 'iki', 'restoran', 'mbak', 'jenenge', 'dudu', 'warung']",NON-CYBERBULYING
[],NON-CYBERBULYING
"['bacot', 'nih', 'emak2', 'pick', 'me', 'coba', 'rakyatnya', 'rakyat2', 'kecilnya', 'orang', 'digambar', 'ju']",NON-CYBERBULYING
"['yg', 'mah', 'sehat', 'be', 'ya']",NON-CYBERBULYING
"['partai', 'cilik', 'menyesatkan', 'rakyat', 'duhh', 'dek', 'pinter', 'kali', 'pencintraa', 'mu']",CYBERBULLYING
"['cilik', 'cilik', 'pites']",NON-CYBERBULYING
"['warung', 'opo', 'cafe']",NON-CYBERBULYING
"['rakjat', 'tipu', 'tipu']",CYBERBULLYING
"['mirasnya', 'bu']",CYBERBULLYING
"['licik', 'bu', 'kebalik', 'hurufnya', 'mic', 'dimatikan', 'rakyat', 'yg', 'menderita', 'disaat', 'par']",CYBERBULLYING
"['yaiyalah', 'energi', 'nya', 'cilik', 'diambil', 'energi', 'nya', 'doang', 'timbal', 'nya', 'coba']",NON-CYBERBULYING
"['partai', 'penyuka', 'jatah', 'cilik', 'kah']",NON-CYBERBULYING
"['warung', 'ya', 'ya', 'ga', 'nyolot', 'bu', 'warung', 'taplaknya', 'kek', 'seprai', 'hotel', 'bintang']",NON-CYBERBULYING
"['hidup', 'the', 'next', 'presiden']",NON-CYBERBULYING
"['lamis', 'mba', 'rara', 'wokwokwok']",NON-CYBERBULYING
"['partai', 'licik']",CYBERBULLYING
"['tai', 'partai', 'pemeras', 'takyat', 'ngaku', 'partai', 'cilik']",NON-CYBERBULYING
"['warung', 'pecel', 'yg', 'pinggiran', 'desa', 'beneran', 'biar', 'bener2', 'deket', 'sm', 'cilik', 'warung', 'pece']",NON-CYBERBULYING
"['coba', 'bu', 'makan', 'warteg', 'berdesak2an', 'rakyat', 'bangku', 'tp', 'jgn', 'sarungin']",NON-CYBERBULYING
[],NON-CYBERBULYING
"['nasib', 'cilik', 'cilik', 'dgn', 'partai']",NON-CYBERBULYING
[],NON-CYBERBULYING
"['semangat', 'bu', 'puan', 'merakyat', 'faham', 'rakyat', 'sehat', 'calon', 'presidenku']",NON-CYBERBULYING
"['cok', 'nyapres', 'ngehalalin', 'sumpah', 'sampe', 'menang', 'fix', 'curang']",CYBERBULLYING
"['haha', 'partai', 'cilek', 'bu', 'jgn', 'lupa', 'micropon', 'dimatiin', 'sampe', 'matipun', 'g', 'kupilih', 'kalo', 'ib']",NON-CYBERBULYING
"['wuz', 'tenda', 'kursi', 'meja', 'pake', 'sarung']",NON-CYBERBULYING
['kuno'],NON-CYBERBULYING
"['cilik', 'ato', 'baim']",NON-CYBERBULYING
"['menjelang', 'pemilu', 'mengklaim', 'peduli', 'cilik', 'peduli', 'rakyat', 'membela']",NON-CYBERBULYING
"['mukanya', 'sih']",NON-CYBERBULYING
"['wkwkkwk', 'cilik']",NON-CYBERBULYING
"['real', 'no', 'gimmick']",NON-CYBERBULYING
"['afh', 'iyh']",NON-CYBERBULYING
"['mbak', 'puan', 'gus', 'imin', 'butuh', 'pr', 'bangun', 'image', 'cilik', 'hubungi', 'ya']",NON-CYBERBULYING
['heleh'],NON-CYBERBULYING
"['sbg', 'rakyat', 'sandal', 'jepit', 'sy', 'berpesan', 'egois', 'krn', 'jd', 'presiden', 'seraplah', 'as']",NON-CYBERBULYING
[],NON-CYBERBULYING
"['yaelaaa', 'emang', 'related', 'bawa2', 'cilik']",NON-CYBERBULYING
"['yg', 'sdh', 'lakukan', 'matiin', 'mikropon']",NON-CYBERBULYING
"['bacot', 'lo']",NON-CYBERBULYING
['sipaling'],NON-CYBERBULYING
"['ra', 'sudi']",NON-CYBERBULYING
"['pilih', 'pemimpin', 'yg', 'jadikan', 'cilik', 'umpan', 'jdkan', 'sbg', 'tameng', 'menj']",NON-CYBERBULYING
"['cilik', 'e', 'sapiro', 'iki', 'tah']",NON-CYBERBULYING
"['terserahe', 'sampean', 'buu', 'sampean', 'bahagia', 'nek', 'ngapusi', 'doso', 'yo', 'ditanggung', 'dewe', 'mbesok', 'neng', 'akhirat']",NON-CYBERBULYING
"['kantor', 'rumah', 'perjamuan', 'mi', 'instan', 'es', 'teh', 'plastikan', 'ha']",NON-CYBERBULYING
"['ngomong', 'opo', 'iki', 'g', 'gunanya']",NON-CYBERBULYING
"['sandal', 'jepitnya', 'gk', 'keliatan']",NON-CYBERBULYING
['y'],NON-CYBERBULYING
"['cilak', 'cilik', 'yg', 'kenyang', 'jg', 'kalian2', 'retoric']",NON-CYBERBULYING
"['keren', 'yak', 'meja', 'warung', 'pecelnya', 'kek', 'meja', 'hajatan', 'manten', 'gedung']",NON-CYBERBULYING
['hahahahahahahahaa'],NON-CYBERBULYING
"['ngrepoti', 'dodol', 'tok']",NON-CYBERBULYING
['cringe'],NON-CYBERBULYING
"['next', 'tukang', 'bakso']",NON-CYBERBULYING
[],NON-CYBERBULYING
['anjayy'],NON-CYBERBULYING
['hahahaha'],NON-CYBERBULYING
"['oh', 'sandal', 'jepit']",NON-CYBERBULYING
"['faktanya', 'skrng', 'partainya', 'licik', 'bkn', 'cilik', 'lg']",CYBERBULLYING
['wkwkwk'],NON-CYBERBULYING
"['warung', 'warungnya', 'sepi', 'udah', 'booked', 'alias', 'rakyat', 'ga', 'makan', 'disitu', 'al']",NON-CYBERBULYING
[],NON-CYBERBULYING
"['warung', 'e', 'eksklusive', 'ngono', 'ngece', 'cilik', 'yen', 'kui', 'ora', 'mathuk', 'yen', 'omong', 'partai', 'cilik', 'y']",NON-CYBERBULYING
"['tangisan', 'cilik', 'hore', 'hore', 'gedung', 'happy', 'birthday', 'lua']",NON-CYBERBULYING
"['kali', 'liat', 'duren', 'ditutupin', 'pake', 'daun', 'pisang']",NON-CYBERBULYING
"['boong', 'ah']",NON-CYBERBULYING
"['warung', 'pecel', 'vvip', 'yg', 'lazim', 'alas', 'mejanya', 'plastik', 'teh', 'botol', 'hehe']",NON-CYBERBULYING
"['gakena', 'gakena']",NON-CYBERBULYING
"['pfffft', 'warung', 'pecel', 'pake', 'taplak', 'putih', 'bersih', 'kondangan', 'kacau', 'emang']",NON-CYBERBULYING
"['paan', 'si']",NON-CYBERBULYING
"['wkwkwkw', 'mejanya', 'warung', 'pecel', 'tu', 'bagus', 'bgt', 'kayak', 'meja', 'nikahan']",NON-CYBERBULYING
"['gak', 'sok', 'cilik', 'ceprot', 'lahir', 'merasakan', 'cilik']",NON-CYBERBULYING
"['bu', 'udh', 'tanam', 'padi']",NON-CYBERBULYING
"['actingnya', 'mendalami']",NON-CYBERBULYING
"['omong', 'kosong']",CYBERBULLYING
"['malu', 'ya', 'minimal', 'self', 'claiming', 'yg', 'sesuai', 'kenyataan']",NON-CYBERBULYING
"['spill', 'warung', 'pecelnya', 'bu', 'pengen', 'nyoba', 'makan', 'disitu', 'bu', 'warung', 'pecel', 'langganan', 'k']",NON-CYBERBULYING
"['perasaan', 'gak', 'liat', 'warung', 'pecel', 'cilik', 'pake', 'taplak', 'meja', 'table', 'manner', 'mewah']",NON-CYBERBULYING
"['partai', 'sing', 'akali', 'cilik', 'ngapusiiiii']",CYBERBULLYING
"['tau', 'warung', 'pecel', 'konsepnya', 'kayak', 'kondangan', 'tetangga']",NON-CYBERBULYING
"['orang', 'miskin', 'gk', 'makan', 'pecel', 'bu', 'orang', 'miskin', 'makannya', 'janji', 'pejabat', 'ditambah', 'politikus']",CYBERBULLYING
"['calon', 'pemimpin', 'merakyat', 'dukung', 'puan', 'puan']",NON-CYBERBULYING
['kocak'],NON-CYBERBULYING
['oligarki'],NON-CYBERBULYING
"['rakyat', 'disuruh', 'pura2', 'bahagia', 'pejabat', 'pura2', 'merakyat', 'cocok']",NON-CYBERBULYING
"['partai', 'cilik']",NON-CYBERBULYING
"['ya', 'ampun', 'pura', 'pura', 'merakyat', 'aja', 'gagal', 'ga', 'nyadar', 'ya', 'skenario', 'yg', 'buruk', 'modal', '2024', 'v']",NON-CYBERBULYING
"['tolong', 'dimatikan', 'mic', 'nya']",NON-CYBERBULYING
"['ngaku', 'partai', 'cilik', 'bansos', 'cilik', 'aja', 'digarong', 'sm', 'kader', 'partai', 'lu', 'waras']",CYBERBULLYING
"['puan', 'kui', 'sopo', 'yo', 'ra', 'rohh']",NON-CYBERBULYING
"['kutu', 'kupret']",NON-CYBERBULYING
"['gk', 'malu', 'kah', 'sprti', 'seharus', 'ny', 'malu', 'sprti', 'bkn', 'rakyat', 'anti', 'pemerint']",NON-CYBERBULYING
"['pencitraan', 'bisanya']",CYBERBULLYING
[],NON-CYBERBULYING
"['riiilll', 'khh']",NON-CYBERBULYING
[],NON-CYBERBULYING
"['ahh', 'benerr']",NON-CYBERBULYING
"['narasi', 'pencitraan', 'doang', 'partai', 'cilik', 'sendal', 'jepit', 'kenyataannya', 'kerja', 'tdk', 'yg', 'mewakili', 'rakyat']",CYBERBULLYING
['koya'],NON-CYBERBULYING
"['cilik', 'isine', 'weteng', 'buncit', 'kbeh', 'cilik', 'pie', 'mben', 'dino', 'panganane', 'duit', 'rakyat']",CYBERBULLYING
"['partai', 'cilik', 'ngomong', 'emprut', 'ngomong', 'sono', 'tembok']",NON-CYBERBULYING
"['pengin', 'komen', 'takut', 'ilang']",NON-CYBERBULYING
['bullshit'],CYBERBULLYING
"['mbak', 'pdip', 'hancur', 'kalo', 'sampean', 'begini2']",NON-CYBERBULYING
"['bu', 'puan', 'islam', 'melarang', 'pemimpin', 'ulil', 'amri', 'perempuan', 'saj']",NON-CYBERBULYING
"['udah', 'muak', 'politikus', 'make', 'istilah', 'partai', 'cilik', 'rakyat', 'miskin', 'didekatin', 'h']",NON-CYBERBULYING
"['partai', 'licik', 'partai', 'penjilat', 'clop']",CYBERBULLYING
"['anggota', 'dpr', 'wae', 'tok', 'mute', 'opo', 'meneh', 'rakyat']",CYBERBULLYING
"['pura', 'pura', 'dapet', 'suara', 'laku', 'jaman']",NON-CYBERBULYING
"['ga', 'komen', 'ah', 'takut', 'dosa']",NON-CYBERBULYING
"['gada', 'warung', 'pecel', 'pake', 'kursi', 'bungkus', 'vvip', 'woeee']",NON-CYBERBULYING
"['janji', 'ga', 'matiin', 'mic']",NON-CYBERBULYING
"['isok', 'ae', 'sampean', 'iki', 'buk']",NON-CYBERBULYING
"['paan', 'sih', 'emak2', 'hdeh']",NON-CYBERBULYING
"['pdip', 'amp']",NON-CYBERBULYING
"['spill', 'harga', 'lokasinya', 'kakk']",NON-CYBERBULYING
"['nasi', 'pecel', 'pelengkapnya', 'duren', 'musanking', 'biasaa']",NON-CYBERBULYING
"['bbm', 'bu', 'cilik', 'yg', 'bela']",NON-CYBERBULYING
"['mbak', 'puan', 'warung', 'e', 'cilik', 'gada', 'duren', 'gitu', 'meja', 'ya', 'mboten', 'taplaki', 'kain', 'putih', 'gitu', 'kursi', 'n']",NON-CYBERBULYING
"['maksdnya', 'partainya', 'cilik', 'ati', 'khan', 'bu', 'puan', 'bkan', 'partai', 'nya', 'kere', 'sik', 'diinjak', 't']",NON-CYBERBULYING
"['sendal', 'jepitnya', 'merk', 'swallow', 'bu']",NON-CYBERBULYING
"['cilik', 'licik', 'sih']",CYBERBULLYING
"['kagak', 'interaksi', 'rakyat', 'ngeklaim', 'partai', 'cilik', 'partai', 'sendal', 'jepit', 'anggota', 'dpr', 'digubris', 'dimatikan', 'mikrofonnya']",NON-CYBERBULYING
['mblegedes'],NON-CYBERBULYING
"['calon', 'gak', 'laku']",NON-CYBERBULYING
"['ah', 'yg', 'benul', 'cilik', 'kayak', 'bersimpati', 'twit', 'hihihi', 'egk', 'dlu', 'buk']",NON-CYBERBULYING
"['status', 'wa', 'temen', 'pagi', 'bu', 'tersenyumlah', 'cilik', 'yg', 'bersendal', 'jepit']",NON-CYBERBULYING
[],NON-CYBERBULYING
"['nge', 'rep', 'takut', 'ilang']",NON-CYBERBULYING
"['duriannya', 'tuh', 'gagal', 'ditutupi', 'selembar', 'daun', 'pisang', 'gagal', 'paham', 'merakyat', 'sebelah', 'nya']",NON-CYBERBULYING
"['warung', 'pecel', 'skrg', 'meja', 'amp']",NON-CYBERBULYING
"['warung', 'nih', 'keren']",NON-CYBERBULYING
"['buk', 'sy', 'orang', 'yg', 'milih', 'gpp', 'ya', 'klo', 'g', 'milih', 'buk', 'puan', 'sy', 'tau', 'kapasitas', 'buk', 'puan']",NON-CYBERBULYING
"['orang', 'sih']",NON-CYBERBULYING
"['kangen', 'lihat', 'nangis2', 'pas', 'bbm']",NON-CYBERBULYING
"['warteg', 'nya', 'bagus']",NON-CYBERBULYING
"['cilik', 'suka', 'matikan', 'mic']",NON-CYBERBULYING
"['partai', 'yg', 'memelihara', 'cilik', 'cilik', 'yg', 'mudah', 'dikibal', 'kibul', 'memilih', 'partainya', 'btw', 'bbm', 'nambah', 'cilik']",NON-CYBERBULYING
"['afh', 'iyh']",NON-CYBERBULYING
"['hilih', 'kinthhhil']",CYBERBULLYING
"['bodohi', 'dgn', 'pencitraan', 'basi', 'spt', 'model', 'pencitraan', 'sepjangan', 'bodohi', 'dgn', 'pencitraan', 'basi', 'spt', 'model', 'pencitraan', 'parasit', 'rakyatnya', 'kelak', 'suara', 'wakil', 'rakyat', 'rapat', 'matikan', 'mic', 'nya', 'masyarakat', 'bersuara', 'ayo', 'bodohi', 'pdip', 'cunguknyaerti', 'menja']",CYBERBULLYING
"['latarnya', 'editan', 'kah']",NON-CYBERBULYING
"['bakso', 'podomoro', 'sabi', 'bu']",NON-CYBERBULYING
"['cyberbullyinging', 'komen2nya', 'kek', 'gitu', 'pede', 'bikin', 'twit', 'kek', 'gini', 'sih', 'sumpah', 'g']",NON-CYBERBULYING
"['info', 'type', 'camera']",NON-CYBERBULYING
"['cilik', 'kaya', 'gimana', 'bu', 'ratu']",NON-CYBERBULYING
"['sinetron', 'menjelang', 'pemilu']",NON-CYBERBULYING
"['cilik', 'warungnya', 'semewah']",NON-CYBERBULYING
"['krik', 'krik', 'krik']",NON-CYBERBULYING
"['gagal', 'cosplay', 'cilik']",NON-CYBERBULYING
"['sadarlah', 'bu', 'gaakan', 'yg', 'milih', 'ente', 'bu', 'puan', 'mending', 'pdi', 'ngusung', 'ganjar', 'merus']",NON-CYBERBULYING
"['jgn', 'ngobrol', 'segerah', 'makan', 'krupuknya', 'minyak', 'mahal', 'sayang', 'kalo', 'krupuknya', 'mlepes', 'haha', 'mlepessss', 'iya']",NON-CYBERBULYING
"['partai', 'cilik', 'rakyatnya', 'hidup', 'nya', 'melarat', 'pemimpinnya', 'gaya', 'hidup', 'hedonisme']",NON-CYBERBULYING
['pnctraan'],NON-CYBERBULYING
"['halah', 'ra', 'payu', 'kowe', 'mben']",NON-CYBERBULYING
['cuihhh'],CYBERBULLYING
"['bulshiit', 'ya', 'rara', 'eeh', 'puan']",CYBERBULLYING
"['mbak', 'maap', 'cilik', 'yg', 'yg', 'yah', 'tdk', 'merasakan', 'pembalelaan', 'yg']",NON-CYBERBULYING
"['beban', 'cilik']",NON-CYBERBULYING
"['durian', 'warung', 'pecel', 'campur', 'durian']",NON-CYBERBULYING
"['partainya', 'cilik', 'partainya', 'sendal', 'jepit', 'nonton', 'iklan', 'burger', 'restaurant']",NON-CYBERBULYING
"['ketulusanmu', 'vidio', 'ekspresi', 'wa']",NON-CYBERBULYING
"['iya', 'suka', 'kunjungan', 'rumah', 'tb', 'ngasi', 'duit']",NON-CYBERBULYING
"['partainya', 'cilik', 'suka', 'matiin', 'mic', 'wakil', 'rakyat', 'beropini', 'kasih', 'masukkan', 'raky']",NON-CYBERBULYING
"['ckck', 'pura2', 'cilik', 'menjelang', 'pemilu', 'fix', 'pilih', 'orang']",NON-CYBERBULYING
"['merasakan', 'pny', 'malu', 'kah']",NON-CYBERBULYING
"['opo', 'o', 'gak', 'ng', 'cangkir', 'ae']",NON-CYBERBULYING
['ngokkkk'],NON-CYBERBULYING
"['mejanya', 'kek', 'meja', 'katering', 'kondangan']",NON-CYBERBULYING
"['metal', 'cilik']",NON-CYBERBULYING
"['nggak', 'kemaren', 'momen', 'ulang']",NON-CYBERBULYING
"['ga', 'nangis', 'nangis', 'mumpung', 'warung', 'pecel', 'bbm', 'tuh', 'pas', 'momennya', 'sprti']",NON-CYBERBULYING
"['partai', 'cilik']",NON-CYBERBULYING
"['i', 'i', 'i', 'parah', 'ni', 'dustanya']",NON-CYBERBULYING
"['bknnya', 'kau', 'elergi', 'cilik', 'mkanan']",NON-CYBERBULYING
"['dengar', 'koyes']",NON-CYBERBULYING
['tjilik'],NON-CYBERBULYING
"['tertawa', 'by', 'rakyat']",NON-CYBERBULYING
"['muak', 'bu', 'rakyat', 'lelah', 'kelakuan', 'pro', 'rakyat', 'kepentingan', 'pribadi', 'at']",NON-CYBERBULYING
"['gantilah', 'think', 'tank', 'mu', 'mbak', 'puan', 'gimmick2', 'politik', 'mu', 'yg', 'ngawur', 'lg', 'promosi', 'be']",CYBERBULLYING
"['norak', 'cuih']",CYBERBULLYING
"['mahram', 'bu', 'ga', 'salaman']",NON-CYBERBULYING
"['pecel', 'opo', 'iku', 'onok', 'duren', 'e', 'peyek', 'mbe', 'krupuk', 'e', 'gk', 'melempem', 'ta', 'buk', 'sakjane', 'deleh', 'toples', 'ae', 'lapo', 'dipiringi']",NON-CYBERBULYING
"['udah', '10thun', 'jabat', 'cilik', 'nya', 'mbak', 'dicari', 'cilik', 'melesat']",NON-CYBERBULYING
['o'],NON-CYBERBULYING
"['cilik', 'susah', 'nih', 'skrg', 'turunkan', 'bbm', 'turunkan', 'harga', 'smbako', 'naikan', 'pndpatan']",NON-CYBERBULYING
['cuih'],CYBERBULLYING
['oh'],NON-CYBERBULYING
"['keren', 'karirnya', 'melonjak', 'cepet', 'banget', 'ya', 'pawang', 'ujan', 'trus', 'diundang']",NON-CYBERBULYING
[],NON-CYBERBULYING
"['selogan', 'belaka', 'nato']",NON-CYBERBULYING
"['sekedar', 'puan', 'yg', 'terhormat', 'klo', 'pro', 'cilik', 'menyetujui']",NON-CYBERBULYING
"['yg', 'pke', 'sandal', 'jepit', 'bkn', 'cilik', 'bos', 'puan', 'bacot']",CYBERBULLYING
"['doyan', 'banget', 'klaim', 'gagal', 'total', 'framing', 'merakyat']",NON-CYBERBULYING
"['warung', 'pecel', 'plus', 'durian', 'mevah']",NON-CYBERBULYING
"['berberda', 'dgn', 'pecel', 'warung']",NON-CYBERBULYING
"['yg', 'diusung', 'pdip', 'jd', 'capres', 'pilpres', 'keluarga']",NON-CYBERBULYING
"['partainya', 'cilik', 'pejabat', 'pengurusnya', 'elite']",NON-CYBERBULYING
['hadeh'],NON-CYBERBULYING
['istimewah'],NON-CYBERBULYING
"['ora', 'ana', 'jarate', 'warung', 'pecel', 'mejane', 'taplaki', 'mbaaaaakkkk']",NON-CYBERBULYING
"['ah', 'benerr']",NON-CYBERBULYING
[],NON-CYBERBULYING
"['afhaaa', 'iyhaaaa']",NON-CYBERBULYING
"['lambe', 'mu', 'wing', 'cilik']",CYBERBULLYING
"['lincahnya', 'jemari', 'mu', 'mematikan', 'mic', 'bu']",NON-CYBERBULYING
"['elaah', 'warung', 'pecel', 'white', 'clothed', 'table', 'gitu', 'gimmick', 'kira2', 'kalee']",NON-CYBERBULYING
"['le', 'mas', 'yg', 'dibelakang', 'akting', 'yg', 'bagus', 'tp', 'coreografer', 'yg', 'buruk']",NON-CYBERBULYING
"['warungnya', 'alphard']",NON-CYBERBULYING
"['duo', 'dagelan', 'nyampur']",CYBERBULLYING
['istidraj'],NON-CYBERBULYING
"['masuk', 'got']",CYBERBULLYING
